case,confidence,path,repair,optical,x,y
1,100.0,23,100.0,98.9,120.36,120.45
2,100.0,21,100.0,98.9,76.29,159.35
3,100.0,26,100.0,98.9,120.98,157.53
4,100.0,22,100.0,98.9,80.1,159.51
5,88.95,29,100.0,98.9,157.2,157.64
6,100.0,22,100.0,98.9,157.23,83.64
7,100.0,23,100.0,98.9,120.98,120.98
8,100.0,18,100.0,98.9,117.67,83.63
9,100.0,22,100.0,98.9,119.92,120.53
10,100.0,26,100.0,98.9,122.84,156.26
11,100.0,18,100.0,98.9,119.62,80.38
12,100.0,21,100.0,98.9,79.92,159.85
13,100.0,23,100.0,98.9,160.59,80.85
14,100.0,17,100.0,98.9,118.9,79.54
15,100.0,14,100.0,98.9,83.94,76.45
16,100.0,14,100.0,98.9,77.86,82.14
17,100.0,13,100.0,98.9,79.73,79.91
18,100.0,27,100.0,98.9,120.13,160.13
19,99.92,27,100.0,98.9,123.4,161.75
20,100.0,27,100.0,98.9,120.68,162.54
